,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,song_label
0,5hNd3UB2VG6M38kqgTHE3o,Elvis Costello & The Attractions,The Best Of The First 10 Years,Accidents Will Happen,24,181480,False,0.605,0.65,0,-9.019,1,0.0276,0.0612,0.0183,0.357,0.677,120.129,4,power-pop,Accidents Will Happen-Elvis Costello & The Attractions
1,2HcE0UBhTeY1LYj4VcseJZ,Elvis Costello,My Aim Is True,Alison,35,204533,False,0.555,0.323,1,-10.774,0,0.0469,0.752,4.28e-05,0.209,0.371,176.387,4,power-pop,Alison-Elvis Costello
2,3zUMHRZa7wgqtoCsBfBSpt,Joshua Radin,I'd Rather Be With You,I'd Rather Be With You [Radio Edit],28,163200,False,0.512,0.671,1,-7.738,1,0.0283,0.0314,0.161,0.0749,0.397,82.342,4,acoustic,I'd Rather Be With You [Radio Edit]-Joshua Radin
3,4Zz1ctRTK04dytKiFuavBX,Elvis Costello & The Attractions,Armed Forces (Remastered 2020),Oliver's Army,59,180840,False,0.527,0.725,4,-9.405,1,0.0287,0.336,0.0,0.221,0.94,143.162,4,power-pop,Oliver's Army-Elvis Costello & The Attractions
4,2ZaYFNn1YQuLSVdHhanr4Q,Joshua Radin,We Were Here,Only You,56,149013,False,0.545,0.255,8,-14.844,1,0.0311,0.362,1.77e-05,0.0841,0.831,98.088,4,acoustic,Only You-Joshua Radin
5,1L94M3KIu7QluZe63g64rv,Pearl Jam,Ten,Alive,76,340907,False,0.284,0.875,11,-6.069,0,0.0422,0.00752,0.000461,0.402,0.595,75.009,4,alt-rock,Alive-Pearl Jam
6,5Xak5fmy089t0FYmh3VJiY,Pearl Jam,Ten,Black,74,342653,False,0.36,0.684,4,-6.457,0,0.0308,0.323,0.0,0.34,0.2,77.15,4,grunge,Black-Pearl Jam
7,6QewNVIDKdSl8Y3ycuHIei,Pearl Jam,Ten,Even Flow,76,292580,False,0.394,0.944,10,-6.506,0,0.0761,0.00178,4.54e-06,0.298,0.265,105.338,4,alt-rock,Even Flow-Pearl Jam
8,5tVA6TkbaAH9QMITTQRrNv,Tom Petty,Full Moon Fever,Free Fallin',77,256000,False,0.623,0.449,5,-13.333,1,0.0253,0.212,0.0,0.0613,0.572,84.383,4,singer-songwriter,Free Fallin'-Tom Petty
9,6i81qFkru6Kj1IEsB7KNp2,Pearl Jam,Backspacer,Just Breathe,69,215853,False,0.473,0.348,0,-11.1,1,0.0288,0.721,7.42e-05,0.0823,0.283,107.819,4,grunge,Just Breathe-Pearl Jam
10,3bE5slaVEfaDreqARl6k4M,Pearl Jam,Jeremy,Yellow Ledbetter,70,303586,False,0.504,0.354,4,-11.3,1,0.0339,0.29,4.71e-06,0.157,0.292,140.87,4,grunge,Yellow Ledbetter-Pearl Jam
11,1SBJ9LUxkalUVk6VmFRlma,Bonobo,Black Sands,Animals,41,405040,False,0.336,0.628,4,-7.878,0,0.0272,0.245,0.396,0.547,0.312,134.993,4,trip-hop,Animals-Bonobo
12,6uoM7KHsyJsHZqBQHKjQbc,Bonobo,Black Sands,Black Sands,51,408960,False,0.525,0.499,0,-9.023,0,0.0246,0.732,0.936,0.0966,0.338,87.989,3,trip-hop,Black Sands-Bonobo
13,4NJmYXgwH27cVeJ6ctf9Dn,Bonobo,Black Sands Remixed,Brace Brace,38,423693,False,0.556,0.622,1,-9.179,0,0.0283,0.587,0.969,0.118,0.177,119.995,4,trip-hop,Brace Brace-Bonobo
